year,month,inflation,inf_accum,quarter,gdp
2016,1,1.27,10.71,1,161.9
2016,2,0.90,10.36,1,161.9
2016,3,0.43,9.39,1,161.9
2016,4,0.61,9.28,2,163.7
2016,5,0.78,9.32,2,163.7
2016,6,0.35,8.84,2,163.7
2016,7,0.52,8.74,3,165.5
2016,8,0.44,8.97,3,165.5
2016,9,0.08,8.48,3,165.5
2016,10,0.26,7.87,4,162.3
2016,11,0.18,6.99,4,162.3
2016,12,0.30,6.29,4,162.3
2017,1,0.38,5.35,1,162.1
2017,2,0.33,4.76,1,162.1
2017,3,0.25,4.57,1,162.1
2017,4,0.14,4.08,2,164.7
2017,5,0.31,3.60,2,164.7
2017,6,-0.23,3.00,2,164.7
2017,7,0.24,2.71,3,167.7
2017,8,0.19,2.46,3,167.7
2017,9,0.16,2.54,3,167.7
2017,10,0.42,2.70,4,165.8
2017,11,0.28,2.80,4,165.8
2017,12,0.44,2.95,4,165.8
2018,1,0.29,2.86,1,164.1
2018,2,0.32,2.84,1,164.1
2018,3,0.09,2.68,1,164.1
2018,4,0.22,2.76,2,166.2
2018,5,0.40,2.86,2,166.2
2018,6,1.26,4.39,2,166.2
2018,7,0.33,4.48,3,169.9
2018,8,-0.09,4.19,3,169.9
2018,9,0.48,4.53,3,169.9
2018,10,0.45,4.56,4,172.4
2018,11,-0.21,4.05,4,172.4